path,size,last_commit,inbound_refs,in_spine,role,refs
docs/architecture_decision.md,20357,2026-08-23,13,,REFERENCE +superseded-ish-banner,README.md background/README.md docs/commissioning_logs/sserial_enumeration_check_2026-09-05.md docs/feedback_nameplate_survey_2026-08-15.md docs/grounding_shielding_plan.md docs/project_status.md docs/servo_amp_analysis.md docs/servo_commissioning.md
docs/authority_hierarchy.md,16254,2026-08-15,13,,GOVERNANCE,.github/workflows/authority-gate.yml CLAUDE.md docs/commissioning_logs/sserial_enumeration_check_2026-09-05.md docs/ladder_signal_audit_2026-09-02.md docs/pin_authority_audit_2026-09-05.md docs/superseded_claims_2026-08-06.md io-dashboard/project_data.js linuxcnc/README.md
docs/ballscrew_lead_2026-08-17.md,19003,2026-08-17,7,,,docs/feed_drive_parts_2026-08-17.md docs/project_status.md docs/resolver_commissioning.md docs/superseded_claims_2026-08-06.md handoff.md linuxcnc/mazak_vqc_20_40.ini linuxcnc/motion_7i80hdt.hal
docs/bench_procedure_2026-09-05.md,24256,2026-09-05,7,,SHOP PROCEDURE,docs/commissioning_logs/sserial_enumeration_check_2026-09-05.md docs/handoff_2026-09-04.md docs/handoff_2026-09-05.md docs/linuxcnc_config_audit_2026-09-03.md docs/pin_authority_audit_2026-09-05.md io-dashboard/data.js mesa/current_pin_authority.csv
docs/cabinet_photo_checklist.md,5350,2026-08-23,7,,REFERENCE,README.md docs/ladder_signal_audit_2026-09-02.md docs/pre_power_deliverables.md docs/project_status.md linuxcnc/README.md mesa/mesa_firmware_checklist.md wiring/README.md
docs/claim_audit_2026-08-07.md,17021,2026-08-23,7,,PROVENANCE +superseded-ish-banner,docs/commissioning_logs/sserial_enumeration_check_2026-09-05.md docs/pin_authority_audit_2026-09-05.md docs/pre_power_deliverables.md docs/spindle_motor_plg_encoder.md docs/superseded_claims_2026-08-06.md io-dashboard/data.js mesa/current_pin_authority.csv
docs/commissioning_logs/analog_cmd_plan_2026-08-08.md,5758,2026-09-05,3,yes,,CLAUDE.md INSTALL_SPINE.md wiring/authority_conflicts.md
docs/commissioning_logs/find_list_2026-08-08.md,6777,2026-08-09,3,yes,+superseded-ish-banner,INSTALL_SPINE.md docs/spindle_motor_plg_encoder.md wiring/cabinet_asfound_survey.md
docs/commissioning_logs/halrun_component_harness_2026-08-16.md,5123,2026-08-16,1,,,docs/project_status.md
docs/commissioning_logs/mazak_commissioning_records_07-08-2026.json,1191,2026-08-15,0,,,
docs/commissioning_logs/servo_period_bench_2026-08-21/README.md,4782,2026-08-23,43,yes,,.gitignore CLAUDE.md INSTALL_SPINE.md INTERFACE_ARCHITECTURE.md README.md background/frsx_orient_detector_capture.md background/mesa_pcw_bitfile_inquiry.md background/parameter_recovery.md
docs/commissioning_logs/servo_period_bench_2026-08-21/bench.hal,859,2026-08-23,5,,,docs/commissioning_logs/servo_period_bench_2026-08-21/README.md docs/commissioning_logs/servo_period_bench_2026-08-21/p.hal docs/commissioning_logs/servo_period_bench_2026-08-21/run_bench.hal docs/commissioning_logs/servo_period_bench_2026-08-21/soak.hal docs/commissioning_logs/servo_period_bench_2026-08-21/steady.hal
