Wire,Location,Signal
,CN6-35,(not used - blank on source table)
,CN6-36,(not used - blank on source table)
,CN6-38,(not used - row slashed out on source table)
,CN6-40,(not used - blank on source table)
,CN6-45,(not used - row slashed out on source table)
,CN6-48,(not used - blank on source table)
,CN6-49,(not used - blank on source table)
MMS RDY,CN200-1,MMS READY
SEN RDY,CN200-2,SENSOR READY
MMS SKIP,CN200-3,MMS SKIP
MMS ST,CN200-4,MMS START
MMS PON,CN200-5,MMS POWER ON
,CN200-6,(not used - blank on source table)
0G,CN200-7,DC24V COM (-) NC
,CN200-8,(not used - blank on source table)
,CN200-9,(not used - blank on source table)
,CN200-10,(not used - blank on source table)
,CN200-11,(not used - blank on source table)
,CN200-12,(not used - blank on source table)
,CN200-13,(not used - blank on source table)
MMS STCMD,CN200-14,MMS START (COMMAND)
,CN200-15,(not used - blank on source table)
,CN200-16,(not used - blank on source table)
,CN200-17,(not used - blank on source table)
,CN200-18,(not used - blank on source table)
,CN200-19,(not used - blank on source table)
+24V,CN200-20,DC24V +COM (NC)
